Price,Close,High,Low,Open,Volume
Ticker,035720.KS,035720.KS,035720.KS,035720.KS,035720.KS
Date,,,,,
2025-03-26,42900.0,43050.0,41400.0,42350.0,1180900
2025-03-27,41600.0,42350.0,41200.0,42300.0,1360153
2025-03-28,41150.0,41650.0,40500.0,41600.0,728635
2025-03-31,39100.0,40700.0,39100.0,40250.0,1711143
2025-04-01,42200.0,42450.0,39600.0,39600.0,2570592
2025-04-02,40900.0,42350.0,40700.0,42300.0,1549771
2025-04-03,42850.0,42900.0,40000.0,40000.0,2508882
2025-04-04,41850.0,44750.0,40950.0,42600.0,4844975
2025-04-07,40650.0,41750.0,39500.0,40450.0,2124791
2025-04-08,39050.0,41500.0,39000.0,41450.0,2588453
2025-04-09,39050.0,39650.0,36950.0,38250.0,1861781
2025-04-10,40000.0,40000.0,38200.0,39100.0,1977485
2025-04-11,39000.0,39050.0,38200.0,38750.0,1364871
2025-04-14,39000.0,39750.0,38950.0,39150.0,962491
2025-04-15,38850.0,39350.0,38750.0,39150.0,1049886
2025-04-16,37750.0,38950.0,37600.0,38900.0,1386130
2025-04-17,38200.0,38400.0,37800.0,37800.0,845939
2025-04-18,39000.0,39150.0,38100.0,38300.0,841087
2025-04-21,38900.0,39350.0,38750.0,39250.0,464726
2025-04-22,39200.0,40150.0,38425.0,38550.0,1247375
2025-04-23,39400.0,39700.0,39150.0,39650.0,687852
2025-04-24,39450.0,39775.0,39250.0,39650.0,497262
2025-04-25,37950.0,38400.0,37150.0,37850.0,16562277
2025-04-28,38050.0,38600.0,37950.0,38500.0,1779369
2025-04-29,38450.0,38700.0,38100.0,38200.0,1787062
2025-04-30,38250.0,38750.0,37750.0,38300.0,1857478
2025-05-02,38050.0,38650.0,37950.0,38150.0,1350989
2025-05-07,38350.0,38550.0,37800.0,38350.0,1891623
2025-05-08,37000.0,38250.0,36900.0,38200.0,4639380
2025-05-09,36950.0,37200.0,36850.0,37150.0,1076784
2025-05-12,38100.0,38100.0,37050.0,37100.0,1737798
2025-05-13,37550.0,38300.0,37400.0,38150.0,1270052
2025-05-14,37950.0,38200.0,37300.0,37700.0,1623377
2025-05-15,37650.0,37850.0,37250.0,37750.0,1346122
2025-05-16,37400.0,37800.0,37300.0,37650.0,912660
2025-05-19,36450.0,37200.0,36350.0,37150.0,1389926
2025-05-20,36550.0,36850.0,36300.0,36600.0,1680015
2025-05-21,37450.0,37950.0,36700.0,36700.0,1327371
2025-05-22,37250.0,37650.0,36950.0,37250.0,884129
2025-05-23,37400.0,37650.0,37000.0,37250.0,1081143
2025-05-26,39000.0,39000.0,37100.0,37400.0,2676578
2025-05-27,40950.0,41000.0,38550.0,38700.0,3448700
2025-05-28,41700.0,42200.0,40250.0,40950.0,2787745
2025-05-29,44000.0,44250.0,41550.0,41550.0,4644875
2025-05-30,42700.0,43850.0,42650.0,43650.0,3539065
2025-06-02,43150.0,43700.0,42400.0,43200.0,2075682
2025-06-04,41600.0,44450.0,41050.0,44100.0,3838475
2025-06-05,44300.0,44900.0,41850.0,42000.0,5070135
2025-06-09,51400.0,51500.0,45700.0,45950.0,12784767
2025-06-10,50000.0,53300.0,49000.0,53300.0,8896042
2025-06-11,51400.0,52000.0,49100.0,49100.0,5300436
2025-06-12,50500.0,51800.0,50300.0,50800.0,4071665
2025-06-13,51500.0,53700.0,50700.0,53700.0,5408390
2025-06-16,53200.0,53300.0,50800.0,51300.0,4949701
2025-06-17,51800.0,54000.0,51200.0,53800.0,3981660
2025-06-18,55200.0,55400.0,51600.0,51600.0,8380598
2025-06-19,60400.0,61800.0,56800.0,57300.0,14753547
